Nº;Título original;Título no Brasil;Data de Lançamento;Poster
1;Iron Man;Homem de Ferro;02/05/2008;iron-man.jpg
2;The Incredible Hulk;O Incrível Hulk;13/06/2008;the-incredible-hulk.jpg
3;Iron Man 2;Homem de Ferro 2;07/05/2010;iron-man-2.jpg
4;Thor;Thor;06/05/2011;thor.jpg
5;Captain America: The First Avenger;Capitão América: O Primeiro Vingador ;22/07/2011;captain-america.jpg
6;The Avengers;Vingadores;04/05/2012;the-avengers.jpg
7;Iron Man 3;Homem de Ferro 3;03/05/2013;iron-man-3.jpg
8;Thor: The Dark World;Thor: O Mundo Sombrio;08/11/2013;thor-the-dark-world.jpg
9;Captain America: The Winter Soldier;Capitão América: O Soldado Invernal ;04/04/2014;captain-america-the-winter-soldier.jpg
10;Guardians of the Galaxy;Guardiões das Galáxia;01/08/2014;guardians-of-the-galaxy.jpg
11;Avengers: Age of Ultron;Vingadores: Era de Ultron;01/05/2015;avengers-age-of-ultron.jpg
12;Ant-Man;Homem-Formiga;17/07/2015;ant-man.jpg
13;Captain America: Civil War;Capitão América: Guerra Civil;06/05/2016;captain-america-civil-war.jpg
14;Doctor Strange;Doutor Estranho;04/11/2016;doctor-strange.jpg
15;Guardians of the Galaxy Vol. 2;Guardiões da Galáxia Vol. 2;08/08/2017;guardians-of-the-galaxy-vol.2.jpg
16;Spider-Man: Homecoming;Homem-Aranha: De Volta ao Lar;17/10/2017;spider-man-homecoming.jpg
17;Thor: Ragnarok;Thor: Ragnarok;03/11/2017;thor-ragnarok.jpg
18;Black Panther;Pantera Negra;16/02/2018;black-panther.jpg
19;Avengers: Infinity War;Vingadores: Guerra Infinita;27/04/2018;avengers-infinity-war.jpg
20;Ant-Man and The Wasp;Homem-Formiga e a Vespa;06/07/2018;ant-man-the-wasp.jpg
21;Captain Marvel;Capitã Marvel;08/03/2019;captain-marvel.jpg
22;Avengers: Endgame;Vingadores: Ultimato;26/04/2019;avengers-endgame.jpg
23;Spider-Man: Far From Home;Homem-Aranha: Longe de Casa;05/07/2019;spider-man-far-from-home.jpg
24;Black Widow;Viúva Negra;09/07/2021;black-widow.jpg
25;Shang-Chi and the Legend of Ten Rings;Shang-Chi e a Lenda dos Dez Anéis;03/09/2021;shang-chi-and-the-legend-of-the-ten-rings.jpg
26;Eternals;Eternos;05/11/2021;eternals.jpg
27;Spider-Man: No Way Home;Homem-Aranha: Sem volta para casa;17/12/2021;spider-man-no-way-home.jpg
28;Doctor Strange in the Multiverse of Madness;Doutor Estranho no Multiverso da Loucura;06/05/2022;doctor-strange-in-the-multiverse-of-madness.jpg
29;Thor: Love and Thunder;Thor: Amor e Trovão;08/07/2022;thor-love-and-thunder.jpg
30;Black Panther: Wakanda Forever;Pantera Negra: Wakanda Para Sempre;11/11/2022;black-panther-wakanda-forever.jpg
31;Ant-Man and The Wasp: Quantumania;Homem-Formiga e a Vespa: Quantumania;17/02/2023;ant-man-and-the-wasp-quantumania.jpg
32;Guardians of the Galaxy Vol. 3;Guardiões da Galáxia Vol. 3;05/05/2023;guardians-of-the-galaxy-vol.3.jpg
33;The Marvels;As Marvels;10/11/2023;the-marvels.jpg
34;Untitled Deadpool Movie;Filme do Deadpool sem Título;03/05/2024;untitled-deadpool-movie.jpg
35;Captain America: Brave World Order;Capitão América: Admirável Mundo Novo;26/07/2024;captain-america-brave-new-world.jpg
36;Thunderbolts;Thunderbolts;20/12/2024;thunderbolts.jpg
37;Blade;Blade;14/02/2025;blade.jpg
38;Fantastic Four;Fantastic Four;02/05/2025;fantastic-four.jpg
39;Avengers: The Kang Dynasty;Vinagadores: A Dinastia Kang;01/05/2026;avengers-the-kang-dynasty.jpg
40;Avengers: Secret Wars;Vinagadores: Guerras Secretas;07/05/2027;avengers-secret-wars.jpg
